City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Conditions
150,Antalaha,MG,-14.9003,50.2788,72.93,77,18,10.49,few clouds
151,Kalmunai,LK,7.4167,81.8167,78.67,83,100,8.9,overcast clouds
152,Beloha,MG,-25.1667,45.05,70.83,81,1,4.99,clear sky
153,Jamestown,US,42.097,-79.2353,69.03,51,75,8.05,broken clouds
154,Asfi,MA,32.2994,-9.2372,68.13,68,40,22.37,scattered clouds
155,Atikokan,CA,48.7555,-91.6216,61.9,53,40,10.67,scattered clouds
156,Vila,PT,42.0304,-8.1588,53.71,67,99,6.55,overcast clouds
157,Rumphi,MW,-11.0186,33.8575,66.94,81,74,3.49,broken clouds
158,Avera,US,33.194,-82.5271,81.55,56,100,7.23,overcast clouds
159,Port Elizabeth,ZA,-33.918,25.5701,66.09,82,0,19.57,clear sky
160,The Valley,AI,18.217,-63.0578,85.86,69,40,13.8,scattered clouds
161,Kaitangata,NZ,-46.2817,169.8464,49.87,74,100,18.14,overcast clouds
162,Korla,CN,41.7597,86.1469,86.16,13,100,18.43,overcast clouds
163,Puerto Del Rosario,ES,28.5004,-13.8627,73.15,64,20,21.85,few clouds
164,La Cruz,MX,23.9167,-106.9,78.96,58,3,5.79,clear sky
165,Mbandaka,CD,0.0487,18.2603,72.45,89,100,1.21,overcast clouds
166,Estelle,US,29.8458,-90.1067,87.01,68,75,7.0,broken clouds
167,Sagua La Grande,CU,22.8067,-80.0756,83.39,62,100,13.85,overcast clouds
168,Sovetskiy,RU,61.3614,63.5842,46.33,93,78,3.47,broken clouds
169,Katsuura,JP,35.1333,140.3,65.3,85,1,9.78,clear sky
170,Trapani,IT,37.8333,12.6667,89.69,17,0,16.11,clear sky
171,Kouango,CF,4.9934,19.9619,76.03,81,100,4.56,overcast clouds
172,Borgarnes,IS,64.5383,-21.9206,51.8,84,100,4.25,overcast clouds
173,Adilabad,IN,19.6667,78.5333,98.1,20,34,5.93,scattered clouds
174,Edd,ER,13.9297,41.6925,84.6,78,24,6.82,few clouds
175,Akyab,MM,20.15,92.9,79.16,81,100,3.65,overcast clouds
176,Sao Filipe,CV,14.8961,-24.4956,72.21,76,32,5.37,scattered clouds
177,Pedernales,DO,18.0384,-71.744,85.03,58,91,6.11,overcast clouds
178,Yulara,AU,-25.2406,130.9889,60.75,57,33,5.46,scattered clouds
179,Dalvik,IS,65.9702,-18.5286,46.33,82,100,5.95,overcast clouds
180,Tezu,IN,27.9167,96.1667,76.19,89,15,3.87,few clouds
181,Muros,ES,42.7762,-9.0603,64.09,63,70,16.31,broken clouds
182,Ancud,CL,-41.8697,-73.8203,47.26,75,91,5.55,overcast clouds
183,Mosalsk,RU,54.4881,34.9817,51.84,53,100,7.61,overcast clouds
184,Raudeberg,NO,61.9875,5.1352,52.95,88,100,9.06,light rain
185,Tanete,ID,-3.9443,119.7848,75.56,96,99,3.27,overcast clouds
186,Semporna,MY,4.4818,118.6112,80.91,85,99,2.55,overcast clouds
187,Salmas,IR,38.1973,44.7653,61.99,39,36,12.86,scattered clouds
188,Suntar,RU,62.1444,117.6319,52.72,81,99,5.75,overcast clouds
189,Dwarka,IN,22.2394,68.9678,85.19,71,88,17.25,overcast clouds
190,Huilong,CN,31.8111,121.655,64.92,91,97,10.31,overcast clouds
191,Wanaka,NZ,-44.7,169.15,46.11,82,55,3.0,broken clouds
192,Cherskiy,RU,68.75,161.3,42.84,84,89,17.56,overcast clouds
193,Saint George,US,37.1041,-113.5841,73.8,13,0,4.61,clear sky
194,Bredasdorp,ZA,-34.5322,20.0403,60.69,85,100,6.26,overcast clouds
195,Gaspe,CA,48.8334,-64.4819,57.42,41,20,14.97,few clouds
196,Viedma,AR,-40.8135,-62.9967,55.6,39,16,20.54,few clouds
197,Azacualpa,HN,15.3433,-88.5514,83.05,86,100,1.12,overcast clouds
198,Clyde River,CA,70.4692,-68.5914,17.83,73,75,9.22,broken clouds
199,Constitucion,CL,-35.3333,-72.4167,57.81,74,91,5.82,overcast clouds
200,Cody,US,44.5263,-109.0565,56.25,39,20,4.61,few clouds
201,Caucaia,BR,-3.7361,-38.6531,85.3,86,75,3.44,broken clouds
202,Sheltozero,RU,61.3667,35.3667,39.69,76,100,10.42,overcast clouds
203,Vila Velha,BR,-20.3297,-40.2925,71.55,88,75,5.75,broken clouds
204,Khani,GE,41.9563,42.9566,47.77,98,100,2.77,overcast clouds
205,Bankura,IN,23.25,87.0667,80.69,67,54,13.33,broken clouds
206,Upernavik,GL,72.7868,-56.1549,22.39,73,100,6.06,overcast clouds
207,Yorosso,ML,12.3536,-4.7761,94.46,30,99,8.63,overcast clouds
208,Lagoa,PT,39.05,-27.9833,61.7,80,6,10.85,clear sky
209,Kotovo,RU,50.3211,44.8012,54.9,63,74,8.32,broken clouds
210,Oktyabrskoye,RU,43.0645,44.7417,51.94,93,75,2.24,light rain
211,Mount Pleasant,US,32.7941,-79.8626,87.19,68,20,11.5,few clouds
212,San Quintin,MX,30.4833,-115.95,62.2,70,76,5.1,broken clouds
213,Hofn,IS,64.2539,-15.2082,46.74,75,100,9.75,overcast clouds
214,Rio Grande,BR,-32.035,-52.0986,75.31,65,91,6.73,overcast clouds
215,Zhigansk,RU,66.7697,123.3711,34.29,76,100,11.07,overcast clouds
216,Amudat,UG,1.95,34.95,74.07,61,80,4.68,broken clouds
217,Cabo San Lucas,MX,22.8909,-109.9124,81.61,66,0,8.05,clear sky
218,Te Anau,NZ,-45.4167,167.7167,47.07,87,99,4.23,overcast clouds
219,Kahului,US,20.8947,-156.47,75.85,68,0,5.75,clear sky
220,Phalaborwa,ZA,-23.943,31.1411,74.48,57,0,5.77,clear sky
221,Port Lincoln,AU,-34.7333,135.8667,59.94,86,100,22.26,light rain
222,Temir,KZ,49.1414,57.13,69.01,39,100,12.12,overcast clouds
223,Leshukonskoye,RU,64.8989,45.7622,45.07,67,73,6.78,broken clouds
224,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,79.45,85,70,13.53,broken clouds
225,Kitui,KE,-1.367,38.0106,72.19,53,59,6.96,broken clouds
226,Barranca,PE,-10.75,-77.7667,66.92,74,67,9.6,broken clouds
227,Agadez,NE,19.75,10.25,101.39,8,28,1.21,scattered clouds
228,Fort Nelson,CA,58.8053,-122.7002,40.59,87,100,3.44,light rain
229,Norman Wells,CA,65.282,-126.8329,48.24,43,20,12.66,few clouds
230,Tuktoyaktuk,CA,69.4541,-133.0374,41.0,48,40,14.97,scattered clouds
231,Henties Bay,NA,-22.116,14.2845,63.09,65,0,12.19,clear sky
232,Okhotsk,RU,59.3833,143.3,34.03,89,100,2.57,overcast clouds
233,Denpasar,ID,-8.65,115.2167,82.06,88,40,8.05,scattered clouds
234,Virginia Beach,US,36.8529,-75.978,66.25,93,100,12.66,fog
235,Cerrito,CO,6.8432,-72.694,63.66,73,83,2.8,broken clouds
236,Honningsvag,NO,70.9821,25.9704,53.35,54,0,14.97,clear sky
237,Stornoway,GB,58.2093,-6.3865,50.94,88,75,2.3,broken clouds
238,Huron,US,41.1501,-82.5499,67.66,77,60,11.56,broken clouds
239,Aswan,EG,24.0934,32.907,94.3,10,0,9.22,clear sky
240,Karratha,AU,-20.7377,116.8463,75.25,45,5,9.1,clear sky
241,Umm Lajj,SA,25.0213,37.2685,81.41,59,0,10.58,clear sky
242,Mantenopolis,BR,-18.8625,-41.1228,78.08,42,13,5.82,few clouds
243,Tahlequah,US,35.9154,-94.97,64.62,82,100,10.36,overcast clouds
244,Souillac,MU,-20.5167,57.5167,75.58,73,40,11.5,scattered clouds
245,Dikson,RU,73.5069,80.5464,28.74,79,100,8.86,overcast clouds
246,Gimli,CA,50.6336,-96.9907,62.62,51,23,11.5,few clouds
247,Kishanganj,IN,26.1167,87.9333,85.98,59,20,6.89,few clouds
248,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,81,44,9.33,scattered clouds
249,Airai,TL,-8.9266,125.4092,61.14,96,96,1.72,overcast clouds
250,Salalah,OM,17.0151,54.0924,84.29,84,40,9.22,scattered clouds
251,Khargone,IN,21.8167,75.6,93.27,36,60,18.75,broken clouds
252,Murgab,TM,37.4966,61.9714,85.87,35,75,6.91,broken clouds
253,Berdigestyakh,RU,62.0989,126.6992,36.64,90,54,2.73,broken clouds
254,Leh,IN,34.1667,77.5833,50.5,44,84,4.72,broken clouds
255,Halifax,CA,44.6453,-63.5724,63.48,37,75,12.66,broken clouds
256,San Cristobal,VE,7.7669,-72.225,80.78,50,100,6.71,overcast clouds
257,Deputatskiy,RU,69.3,139.9,25.72,94,98,2.95,overcast clouds
258,Kamenskiy,RU,50.8855,45.488,53.87,64,88,6.71,overcast clouds
259,Coihaique,CL,-45.5752,-72.0662,40.95,60,20,3.44,few clouds
260,Roma,US,43.2128,-75.4557,68.68,46,40,8.05,scattered clouds
261,Manchester,GB,53.4809,-2.2374,63.25,57,20,16.11,few clouds
262,Bonavista,CA,48.6499,-53.1147,41.11,65,100,17.83,overcast clouds
263,Green River,US,41.5286,-109.4662,54.19,32,17,13.82,few clouds
264,Rosarito,MX,32.3333,-117.0333,64.24,75,25,4.79,scattered clouds
265,Zyryanka,RU,65.75,150.85,45.03,67,41,12.24,scattered clouds
266,Sinnamary,GF,5.3833,-52.95,82.63,77,29,11.1,scattered clouds
267,Meulaboh,ID,4.1363,96.1285,80.37,79,87,1.36,overcast clouds
268,Mbeya,TZ,-8.9,33.45,60.84,83,29,5.88,scattered clouds
269,Curumani,CO,9.1999,-73.5427,88.9,59,100,4.25,overcast clouds
270,Padang,ID,-0.9492,100.3543,75.25,89,100,1.7,overcast clouds
271,Dabakala,CI,8.3667,-4.4333,83.98,64,97,6.42,overcast clouds
272,Alofi,NU,-19.0595,-169.9187,66.09,100,73,2.3,broken clouds
273,Voh,NC,-20.9667,164.7,71.47,89,100,4.41,light rain
274,Kidal,ML,18.4411,1.4078,102.02,13,51,8.66,broken clouds
275,Turukhansk,RU,65.8167,87.9833,52.83,63,76,5.32,broken clouds
276,Bonthe,SL,7.5264,-12.505,86.67,58,100,5.23,light rain
277,Jalu,LY,29.0331,21.5482,93.99,7,0,7.45,clear sky
278,Olavarria,AR,-36.8927,-60.3225,51.03,83,92,4.85,overcast clouds
279,Baltay,RU,52.4652,46.6308,53.56,62,82,10.29,broken clouds
280,Znamenskoye,RU,57.1281,73.8282,62.47,67,13,6.2,few clouds
281,Aykhal,RU,66.0,111.5,37.72,55,100,7.76,overcast clouds
282,Oswego,US,43.4501,-76.1497,70.92,47,19,5.01,few clouds
283,Pitkyaranta,RU,61.5734,31.4792,48.2,61,96,2.42,overcast clouds
284,Tabas,IR,33.5959,56.9244,93.74,7,15,16.22,few clouds
285,Aksha,RU,50.2814,113.2867,52.09,36,59,3.18,broken clouds
286,Hwange,ZW,-18.3693,26.5019,68.38,30,0,2.51,clear sky
287,Najran,SA,17.4924,44.1277,93.85,7,3,10.76,clear sky
288,Fairbanks,US,64.8378,-147.7164,52.21,52,20,5.75,few clouds
289,Alice Springs,AU,-23.7,133.8833,58.55,63,100,4.61,overcast clouds
290,Khakhea,BW,-24.6895,23.494,65.75,39,0,5.08,clear sky
291,Balkhash,KZ,46.844,74.9804,72.86,28,63,12.84,broken clouds
292,Zirandaro,MX,18.45,-100.9833,92.07,46,37,0.78,scattered clouds
293,Mokhsogollokh,RU,61.4681,128.9203,38.93,93,58,5.44,broken clouds
294,Sao Sebastiao,BR,-23.76,-45.4097,75.18,56,1,3.13,clear sky
295,Biak,ID,-0.9131,122.8766,77.31,83,99,2.71,overcast clouds
296,Takoradi,GH,4.8845,-1.7554,78.13,86,100,15.28,light rain
297,Lesosibirsk,RU,58.2358,92.4828,57.99,57,95,3.24,overcast clouds
298,Tamworth,GB,52.634,-1.6959,62.92,63,49,5.01,scattered clouds
299,Xuanhua,CN,40.6103,115.0447,63.9,32,21,15.21,few clouds
300,Esperance,AU,-33.8667,121.9,58.84,75,41,20.58,scattered clouds
301,Keuruu,FI,62.2667,24.7,69.98,27,50,6.73,scattered clouds
302,Sharan,RU,54.8167,54.0,50.85,75,100,2.42,overcast clouds
303,Margate,GB,51.3813,1.3862,59.7,72,57,1.99,moderate rain
304,Itarema,BR,-2.9248,-39.9167,84.02,67,98,7.43,overcast clouds
305,Torbay,CA,47.6666,-52.7314,46.76,65,75,17.27,broken clouds
306,Chumikan,RU,54.7183,135.315,31.5,96,97,4.14,overcast clouds
307,Lompoc,US,34.6391,-120.4579,68.85,88,100,3.44,overcast clouds
308,Havelock,US,34.8791,-76.9013,84.15,83,75,16.11,broken clouds
309,Kuybyshevo,RU,47.8123,38.9073,58.46,62,85,4.36,overcast clouds
310,Chandbali,IN,20.7833,86.7667,80.08,67,100,15.73,overcast clouds
311,Korhogo,CI,9.45,-5.6333,86.09,51,97,4.68,overcast clouds
312,Salinas,US,36.6777,-121.6555,78.73,73,0,5.75,clear sky
313,Talnakh,RU,69.4865,88.3972,36.21,100,100,0.54,overcast clouds
314,Vestmannaeyjar,IS,63.4427,-20.2734,45.59,87,100,5.75,mist
315,Nouadhibou,MR,20.931,-17.0347,71.58,73,4,23.02,sand
316,Waingapu,ID,-9.6567,120.2641,78.06,83,45,8.21,scattered clouds
317,Marsh Harbour,BS,26.5412,-77.0636,79.18,66,69,15.59,broken clouds
318,El Alto,PE,-4.2714,-81.2147,73.06,61,4,11.07,clear sky
319,Mezen,RU,65.8522,44.24,41.34,80,100,4.56,overcast clouds
320,Pochutla,MX,15.7432,-96.4661,88.83,46,43,6.53,scattered clouds
321,Bose,IT,45.4612,8.0137,71.64,77,98,1.79,overcast clouds
322,Shumyachi,RU,53.8583,32.4242,57.18,65,91,10.36,overcast clouds
323,Broken Hill,AU,-31.95,141.4333,58.69,72,100,8.48,overcast clouds
324,Afua,BR,-0.1567,-50.3867,85.8,62,60,6.89,broken clouds
325,Tokur,RU,53.1333,132.9,26.76,98,78,3.38,broken clouds
326,Port Macquarie,AU,-31.4333,152.9167,53.89,91,56,5.95,broken clouds
327,Alta Floresta,BR,-9.8756,-56.0861,93.02,40,20,6.91,few clouds
328,Sobolevo,RU,54.4299,31.8996,57.34,65,81,11.1,broken clouds
329,Nuuk,GL,64.1835,-51.7216,29.01,80,75,13.8,light snow
330,Mount Isa,AU,-20.7333,139.5,65.97,55,71,6.91,broken clouds
