City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
459,Yeppoon,-23.1333,150.7333,65.98,91,100,13.8,AU,2022-05-23 16:50:45
460,Santiago Del Estero,-27.7951,-64.2615,78.46,32,4,13.33,AR,2022-05-23 16:50:46
461,Kaeo,-35.1,173.7833,49.96,81,3,4.38,NZ,2022-05-23 16:50:46
462,Gualaquiza,-3.4,-78.55,73.06,80,49,2.15,EC,2022-05-23 16:50:46
463,Goderich,43.7501,-81.7165,46.72,76,100,12.66,CA,2022-05-23 16:50:47
464,Punto Fijo,11.6956,-70.1996,84.9,62,65,26.04,VE,2022-05-23 16:50:10
465,Winooski,44.4914,-73.1857,62.11,54,20,16.11,US,2022-05-23 16:50:47
466,Samarai,-10.6167,150.6667,81.48,78,19,7.85,PG,2022-05-23 16:50:48
467,Balyaga,51.1507,108.921,42.91,67,16,3.09,RU,2022-05-23 16:50:48
468,Suhbaatar,50.2314,106.2078,49.66,66,63,5.12,MN,2022-05-23 16:50:48
469,Kapoeta,4.7717,33.5903,86.63,39,28,5.77,SS,2022-05-23 16:50:49
470,Portland,45.5234,-122.6762,63.52,61,40,5.75,US,2022-05-23 16:50:49
471,Cooma,-36.2333,149.1333,33.57,100,100,0.0,AU,2022-05-23 16:50:50
472,Alofi,-19.0595,-169.9187,71.49,94,40,3.44,NU,2022-05-23 16:50:50
473,Arlit,18.7369,7.3853,101.89,10,100,4.5,NE,2022-05-23 16:50:50
474,Conde,-7.2597,-34.9075,74.66,94,75,13.8,BR,2022-05-23 16:50:51
475,Aykhal,66.0,111.5,40.42,95,100,16.13,RU,2022-05-23 16:50:51
476,Haputale,6.7681,80.9595,63.75,81,65,5.32,LK,2022-05-23 16:50:51
477,Houston,29.7633,-95.3633,82.49,73,20,11.5,US,2022-05-23 16:46:45
478,Saravan,39.7196,45.6483,47.53,85,83,5.86,AM,2022-05-23 16:50:52
479,Hibbing,47.4272,-92.9377,60.39,25,100,8.05,US,2022-05-23 16:50:52
480,Paita,-5.0892,-81.1144,71.4,70,24,12.95,PE,2022-05-23 16:50:53
481,Sorsk,54.0033,90.2467,47.73,64,81,0.45,RU,2022-05-23 16:50:53
482,Fort-Shevchenko,44.5086,50.263,65.21,60,98,18.3,KZ,2022-05-23 16:50:53
483,Saint-Pierre,-21.3393,55.4781,73.08,83,0,13.8,RE,2022-05-23 16:50:54
484,Husavik,66.0449,-17.3389,40.35,83,85,3.83,IS,2022-05-23 16:50:54
485,Gbarnga,6.9956,-9.4722,74.57,94,94,1.7,LR,2022-05-23 16:50:54
486,Tiquisate,14.2833,-91.3667,84.0,67,67,3.24,GT,2022-05-23 16:50:55
487,Klyuchi,52.2667,79.1667,59.7,33,0,3.47,RU,2022-05-23 16:50:55
488,Kodaikanal,10.2333,77.4833,57.2,84,97,2.15,IN,2022-05-23 16:50:55
489,Berdigestyakh,62.0989,126.6992,45.97,70,85,2.21,RU,2022-05-23 16:50:56
490,Bathsheba,13.2167,-59.5167,88.41,58,20,17.27,BB,2022-05-23 16:50:56
491,Saint-Raymond,45.467,-73.6095,63.09,45,75,8.05,CA,2022-05-23 16:50:56
492,Antofagasta,-23.65,-70.4,58.28,68,39,6.38,CL,2022-05-23 16:49:07
493,Porto Santo,33.072,-16.3415,71.98,60,40,16.11,PT,2022-05-23 16:50:58
494,Manavalakurichi,8.1333,77.3,80.4,85,100,13.51,IN,2022-05-23 16:50:58
495,Lithakia,37.7167,20.8333,74.48,64,0,8.05,GR,2022-05-23 16:50:00
496,Verkhoyansk,67.5447,133.385,40.12,75,26,6.02,RU,2022-05-23 16:50:59
497,Korocha,50.8107,37.1953,56.12,72,91,6.51,RU,2022-05-23 16:51:59
498,Chunoyar,57.4467,97.3217,55.42,62,68,3.18,RU,2022-05-23 16:52:01
499,Maniitsoq,65.4167,-52.9,29.1,95,100,17.29,GL,2022-05-23 16:52:02
500,Viransehir,37.2353,39.7631,70.36,37,33,8.03,TR,2022-05-23 16:52:02
501,Sinnamary,5.3833,-52.95,80.58,80,44,4.85,GF,2022-05-23 16:52:03
502,Kalmunai,7.4167,81.8167,83.26,71,89,2.68,LK,2022-05-23 16:52:03
503,Nagai,38.1036,140.035,48.51,96,2,2.39,JP,2022-05-23 16:52:03
504,San Borja,-14.8167,-66.85,83.95,55,38,6.62,BO,2022-05-23 16:52:04
505,Morro Bay,35.3658,-120.8499,75.51,67,1,5.99,US,2022-05-23 16:48:11
506,Bandar-E Lengeh,26.5579,54.8807,95.11,34,0,4.61,IR,2022-05-23 16:52:04
507,Nanortalik,60.1432,-45.2371,35.73,79,94,14.16,GL,2022-05-23 16:52:05
508,Gallup,35.5281,-108.7426,66.02,24,0,9.22,US,2022-05-23 16:47:18
509,Pisco,-13.7,-76.2167,66.02,77,70,9.22,PE,2022-05-23 16:52:05
510,Henties Bay,-22.116,14.2845,63.09,63,50,6.13,NA,2022-05-23 16:52:05
511,Srednekolymsk,67.45,153.6833,50.97,72,100,10.96,RU,2022-05-23 16:52:06
512,Mondeville,49.175,-0.3224,59.74,77,100,11.5,FR,2022-05-23 16:52:06
513,Zhigansk,66.7697,123.3711,42.71,81,100,3.87,RU,2022-05-23 16:52:06
514,Ondjiva,-17.0667,15.7333,78.84,18,0,2.3,AO,2022-05-23 16:52:07
